CityMEE,keyRegionZH,PM25_target,Heavy_Pollution_Target,target_period,base_period,CityZH,CityEN,Province,base_PM25,keyRegion2018,2019Q4,2019Q1
北京市,京津冀及周边地区,45,1,2020Q4,2019Q4,北京,Beijing,Beijing,43,2+26,43,52.33333333
天津市,京津冀及周边地区,54,3,2020Q4,2019Q4,天津,Tianjin,Tianjin,53.66666667,2+26,53.66666667,71.33333333
石家庄市,京津冀及周边地区,64,6,2020Q4,2019Q4,石家庄,Shijiazhuang,Hebei,68.66666667,2+26,68.66666667,110.3333333
（辛集市）,京津冀及周边地区,67,6,2020Q4,2019Q4,（辛集）,sub-city region,#N/A,#N/A,2+26,#N/A,#N/A
唐山市,京津冀及周边地区,58,3,2020Q4,2019Q4,唐山,Tangshan,Hebei,58.33333333,2+26,58.33333333,73
邯郸市,京津冀及周边地区,69,8,2020Q4,2019Q4,邯郸,Handan,Hebei,70.33333333,2+26,70.33333333,108.6666667
邢台市,京津冀及周边地区,69,6,2020Q4,2019Q4,邢台,Xingtai,Hebei,69.33333333,2+26,69.33333333,109.6666667
保定市,京津冀及周边地区,59,1,2020Q4,2019Q4,保定,Baoding,Hebei,59,2+26,59,103.6666667
（定州市）,京津冀及周边地区,62,4,2020Q4,2019Q4,（定州）,sub-city region,#N/A,#N/A,2+26,#N/A,#N/A
沧州市,京津冀及周边地区,58,4,2020Q4,2019Q4,沧州,Cangzhou,Hebei,57.66666667,2+26,57.66666667,76.33333333
廊坊市,京津冀及周边地区,49,0,2020Q4,2019Q4,廊坊,Langfang,Hebei,49,2+26,49,70.33333333
衡水市,京津冀及周边地区,64,5,2020Q4,2019Q4,衡水,Hengshui,Hebei,64.33333333,2+26,64.33333333,90.33333333
太原市,京津冀及周边地区,60,0,2020Q4,2019Q4,太原,Taiyuan,Shanxi,62,2+26,62,84
阳泉市,京津冀及周边地区,52,1,2020Q4,2019Q4,阳泉,Yangquan,Shanxi,52.66666667,2+26,52.66666667,81.33333333
长治市,京津冀及周边地区,45,0,2020Q4,2019Q4,长治,Changzhi,Shanxi,45,2+26,45,77.33333333
晋城市,京津冀及周边地区,53,2,2020Q4,2019Q4,晋城,Jincheng,Shanxi,55,2+26,55,88
济南市,京津冀及周边地区,65,3,2020Q4,2019Q4,济南,Jinan,Shandong,63.66666667,2+26,63.66666667,83.33333333
淄博市,京津冀及周边地区,67,4,2020Q4,2019Q4,淄博,Zibo,Shandong,66,2+26,66,86.33333333
济宁市,京津冀及周边地区,72,3,2020Q4,2019Q4,济宁,Jining,Shandong,71.66666667,2+26,71.66666667,75.33333333
