location_id,process_id,date,poll,timezone,unit,source,value
2+26,station_day_mad,2018-10-01,pm10,Asia/Shanghai,µg/m3,mee,64.71402785194346
2+26,station_day_mad,2018-10-01,pm25,Asia/Shanghai,µg/m3,mee,25.611980331050024
2+26,station_day_mad,2018-10-02,pm10,Asia/Shanghai,µg/m3,mee,87.782653072584
2+26,station_day_mad,2018-10-02,pm25,Asia/Shanghai,µg/m3,mee,38.07824528856338
2+26,station_day_mad,2018-10-03,pm10,Asia/Shanghai,µg/m3,mee,108.66702323937169
2+26,station_day_mad,2018-10-03,pm25,Asia/Shanghai,µg/m3,mee,51.9095553853922
2+26,station_day_mad,2018-10-04,pm10,Asia/Shanghai,µg/m3,mee,125.10708379043848
2+26,station_day_mad,2018-10-04,pm25,Asia/Shanghai,µg/m3,mee,66.17205539824626
2+26,station_day_mad,2018-10-05,pm10,Asia/Shanghai,µg/m3,mee,112.02509541413646
2+26,station_day_mad,2018-10-05,pm25,Asia/Shanghai,µg/m3,mee,54.27950305457898
2+26,station_day_mad,2018-10-06,pm10,Asia/Shanghai,µg/m3,mee,86.57410510152678
2+26,station_day_mad,2018-10-06,pm25,Asia/Shanghai,µg/m3,mee,32.519364014060635
2+26,station_day_mad,2018-10-07,pm10,Asia/Shanghai,µg/m3,mee,116.38169624133076
2+26,station_day_mad,2018-10-07,pm25,Asia/Shanghai,µg/m3,mee,51.604804888278935
2+26,station_day_mad,2018-10-08,pm10,Asia/Shanghai,µg/m3,mee,72.33913695307172
2+26,station_day_mad,2018-10-08,pm25,Asia/Shanghai,µg/m3,mee,27.732257241353576
2+26,station_day_mad,2018-10-09,pm10,Asia/Shanghai,µg/m3,mee,66.36462169007052
2+26,station_day_mad,2018-10-09,pm25,Asia/Shanghai,µg/m3,mee,23.429835940130527
2+26,station_day_mad,2018-10-10,pm10,Asia/Shanghai,µg/m3,mee,79.04434072507375
2+26,station_day_mad,2018-10-10,pm25,Asia/Shanghai,µg/m3,mee,34.38874995156165
2+26,station_day_mad,2018-10-11,pm10,Asia/Shanghai,µg/m3,mee,107.95770404126803
2+26,station_day_mad,2018-10-11,pm25,Asia/Shanghai,µg/m3,mee,51.893744028615046
2+26,station_day_mad,2018-10-12,pm10,Asia/Shanghai,µg/m3,mee,123.25525703102933
